"XJ082D
",KIA,Picanto,Benzine,2019,"€ 1.573,-",Mpv,830 kg,998 cm³,49 kW (67 pk),90 g/km
"1VBV72
",FIAT,Ducato 33 23 JTD l h2,Diesel,2009,"€ 10.697,-",Niet geregistreerd,1946 kg,2287 cm³,88 kW (120 pk),onbekend
"54RBX7
",RENAULT,Twingo,Diesel,2011,Hatchback,955 kg,1461 cm³,63 kW (86 pk),94 g/km
"01HVZ6
",SUZUKI,Sx4,Benzine,2009,"€ 3.359,-",Hatchback,1105 kg,1586 cm³,79 kW (107 pk),159 g/km
"80GZN2
",MERCEDES-BENZ,Sprinter,Diesel,2008,"€ 17.877,-",Mpv,2606 kg,2148 cm³,80 kW (109 pk),252 g/km
"JF450G
",TOYOTA,Aygo,Benzine,2016,"€ 1.270,-",Hatchback,830 kg,998 cm³,51 kW (69 pk),88 g/km
"VK461L
",CITROEN,Jumper,Diesel,2014,"€ 10.397,-",Niet geregistreerd,1950 kg,2198 cm³,96 kW (130 pk),195 g/km
"24PFV8
",DAIHATSU,Cuore,Benzine,2011,Hatchback,740 kg,998 cm³,51 kW (69 pk),104 g/km
"04KDS5
",HYUNDAI,I 10,Benzine,2009,"€ 1.403,-",Mpv,905 kg,1248 cm³,57 kW (77 pk),119 g/km
"78PBZR
",FORD,Focus c-max 16l 74KW,Benzine,2004,"€ 5.013,-",Mpv,1234 kg,1596 cm³,74 kW (101 pk),166 g/km
"ZF690B
",VOLVO,Xc60,Benzine,2019,"€ 16.080,-",Stationwagen,1671 kg,1969 cm³,184 kW (250 pk),167 g/km
"RT902X
",VOLKSWAGEN,Golf plus,Benzine,2013,"€ 5.500,-",Stationwagen,1300 kg,1197 cm³,77 kW (105 pk),139 g/km
"3ZJX99
",SUZUKI,Swift,Benzine,2015,"€ 1.155,-",Hatchback,945 kg,1242 cm³,66 kW (90 pk),99 g/km
"JG504B
",VOLVO,V70,Benzine,2016,"€ 7.224,-",Stationwagen,1568 kg,1969 cm³,140 kW (190 pk),144 g/km
"8ZGX20
",SEAT,Leon st,Benzine,2014,"€ 1.591,-",Stationwagen,1154 kg,1197 cm³,77 kW (105 pk),114 g/km
"VZ015P
",FORD,Transit,Diesel,2016,"€ 10.391,-",Niet geregistreerd,2031 kg,2198 cm³,92 kW (125 pk),193 g/km
"2SBT45
",VOLKSWAGEN,Up,Benzine,2013,Hatchback,840 kg,999 cm³,44 kW (60 pk),95 g/km
"53NHK4
",TOYOTA,Auris,Benzine,2010,Mpv,1355 kg,1798 cm³,73 kW (99 pk),89 g/km
"74BBH5
",VDL,Citea lle120225,Diesel,2012,Niet geregistreerd,8945 kg,6692 cm³,162 kW (220 pk),onbekend
"4XKX98
",KIA,Picanto,Benzine,2014,"€ 735,-",Mpv,820 kg,998 cm³,51 kW (69 pk),95 g/km
"80PJH4
",MAZDA,6,Benzine,2011,"€ 6.609,-",Stationwagen,1365 kg,1999 cm³,114 kW (155 pk),161 g/km
"53ZGXL
",CHEVROLET,Matiz,Benzine,2008,"€ 1.482,-",Hatchback,750 kg,796 cm³,38 kW (52 pk),127 g/km
"85JHNP
",TOYOTA,Camry 20 gli stationwagon autu9,Benzine,1991,"€ 4.817,-",Stationwagen,1280 kg,1998 cm³,89 kW (121 pk),onbekend
"HT778N
",RENAULT,Captur,Benzine,2016,"€ 2.935,-",Hatchback,1080 kg,898 cm³,66 kW (90 pk),113 g/km
"PB937G
",MAZDA,3,Benzine,2017,"€ 4.686,-",Hatchback,1180 kg,1998 cm³,88 kW (120 pk),119 g/km
"RT831P
",FORD,Ka+,Benzine,2018,"€ 3.745,-",Hatchback,955 kg,1198 cm³,63 kW (86 pk),110 g/km
"RP101B
",FORD,Fiesta,Benzine,2017,"€ 1.891,-",Hatchback,1063 kg,998 cm³,74 kW (101 pk),97 g/km
"ZDGP28
",VOLKSWAGEN,Golf 74 KW,Benzine,1999,"€ 3.940,-",Hatchback,1049 kg,1595 cm³,74 kW (101 pk),185 g/km
"9ZLS12
",DACIA,Duster,Benzine,2012,"€ 7.221,-",Stationwagen,1135 kg,1598 cm³,77 kW (105 pk),165 g/km
"HR982X
",BMW,316d,Diesel,2015,"€ 943,-",Sedan,1385 kg,1995 cm³,85 kW (116 pk),114 g/km
"XD710H
",SUZUKI,Ignis,Benzine,2018,"€ 2.911,-",Hatchback,785 kg,1242 cm³,66 kW (90 pk),104 g/km
"75PJK4
",SKODA,Fabia,Diesel,2011,Stationwagen,1119 kg,1199 cm³,55 kW (75 pk),89 g/km
"XSLP10
",VOLKSWAGEN,Golf 92 KW aut,Benzine,1999,"€ 5.300,-",Hatchback,1147 kg,1781 cm³,92 kW (125 pk),221 g/km
"34PJS3
",SMART,Fortwo coupe mhd,Benzine,2011,Coupe,725 kg,999 cm³,45 kW (61 pk),97 g/km
"TX945K
",PEUGEOT,5008,Benzine,2018,"€ 5.135,-",Mpv,1295 kg,1199 cm³,96 kW (130 pk),120 g/km
"63TBLL
",FORD,Fiesta 13i 51KW,Benzine,2006,"€ 2.960,-",Hatchback,1017 kg,1299 cm³,51 kW (69 pk),144 g/km
"RD667V
",MERCEDES-BENZ,E 200 d,Diesel,2017,"€ 5.428,-",Sedan,1580 kg,1950 cm³,110 kW (149 pk),102 g/km
"70XDHZ
",TOYOTA,Corolla verso,Benzine,2007,"€ 6.634,-",Stationwagen,1330 kg,1598 cm³,81 kW (110 pk),178 g/km
"TR637Z
",VOLKSWAGEN,Polo,Diesel,2018,"€ 4.984,-",Hatchback,1180 kg,1598 cm³,70 kW (95 pk),97 g/km
"31BRRL
",MERCEDES-BENZ,9036 311cdi,Diesel,2004,Niet geregistreerd,1920 kg,2148 cm³,80 kW (109 pk),onbekend
"21JHJ4
",FORD,Fiesta,Benzine,2009,"€ 3.049,-",Hatchback,954 kg,1242 cm³,60 kW (82 pk),133 g/km
"5VNN62
",VOLKSWAGEN,Transporter,Diesel,2011,"€ 10.827,-",Niet geregistreerd,1895 kg,1968 cm³,103 kW (140 pk),198 g/km
"9SHK33
",BMW,328i,Benzine,2013,"€ 8.437,-",Stationwagen,1485 kg,1997 cm³,180 kW (245 pk),159 g/km
"54NDJ6
",OPEL,Agila,Benzine,2010,"€ 2.712,-",Stationwagen,1015 kg,1242 cm³,63 kW (86 pk),142 g/km
"58BSSF
",RENAULT,Kangoo 15 dci 42KW,Diesel,2005,Niet geregistreerd,1045 kg,1461 cm³,42 kW (57 pk),onbekend
"12LGBL
",SUZUKI,Wagon r + 10,Benzine,2002,"€ 1.724,-",Stationwagen,900 kg,993 cm³,39 kW (53 pk),143 g/km
"28GBTJ
",FORD,Fiesta 13i-8v,Benzine,2000,"€ 2.007,-",Hatchback,906 kg,1299 cm³,44 kW (60 pk),166 g/km
"55GJHV
",DAIHATSU,Cuore,Benzine,2000,"€ 1.495,-",Hatchback,695 kg,989 cm³,41 kW (56 pk),127 g/km
"02GTD6
",VOLKSWAGEN,Golf,Diesel,2008,"€ 7.295,-",Stationwagen,1226 kg,1896 cm³,77 kW (105 pk),145 g/km
"27NGP1
",MITSUBISHI,Colt,Benzine,2010,"€ 2.277,-",Stationwagen,950 kg,1332 cm³,70 kW (95 pk),127 g/km
"59XLZR
",AUDI,A4 cabriolet 120 KW,Benzine,2006,"€ 14.333,-",Cabriolet,1515 kg,1781 cm³,120 kW (163 pk),206 g/km
"6XKX25
",SUZUKI,Sx4,Benzine,2014,"€ 4.536,-",Hatchback,1165 kg,1586 cm³,88 kW (120 pk),130 g/km
"5TKX97
",VOLKSWAGEN,Touran,Benzine,2014,"€ 5.670,-",Mpv,1406 kg,1197 cm³,77 kW (105 pk),139 g/km
"GB555G
",CITROEN,C4 cactus,Benzine,2015,"€ 1.909,-",Hatchback,950 kg,1199 cm³,60 kW (82 pk),100 g/km
"XT733L
",VOLKSWAGEN,Tiguan,Diesel,2018,"€ 824,-",Stationwagen,1565 kg,1968 cm³,110 kW (149 pk),141 g/km
"KR648D
",SKODA,Citigo,Benzine,2017,"€ 1.822,-",Hatchback,834 kg,999 cm³,44 kW (60 pk),96 g/km
"02RSVD
",BMW,5er reihe 523i touring aut,Benzine,2005,"€ 19.190,-",Stationwagen,1555 kg,2497 cm³,130 kW (177 pk),230 g/km
"78FPPF
",FIAT,Seicento 1100,Benzine,2000,"€ 1.014,-",Hatchback,710 kg,1108 cm³,40 kW (54 pk),141 g/km
"76FZTV
",SUZUKI,Swift,Benzine,2000,"€ 1.723,-",Hatchback,720 kg,993 cm³,39 kW (53 pk),130 g/km
"62ZNS7
",TOYOTA,Prius plus,Benzine,2013,Mpv,1470 kg,1798 cm³,73 kW (99 pk),95 g/km
"63HGH9
",AUDI,Tt,Benzine,2007,"€ 11.178,-",Cabriolet,1270 kg,1984 cm³,147 kW (200 pk),186 g/km
"19TRZH
",KIA,Sportage,Benzine,2007,"€ 6.363,-",Mpv,1442 kg,1975 cm³,104 kW (141 pk),190 g/km
"85LDX7
",OPEL,Corsa-c z12xe,Benzine,2002,"€ 3.008,-",Hatchback,910 kg,1199 cm³,55 kW (75 pk),154 g/km
"4TFF69
",HYUNDAI,I 30,Diesel,2014,"€ 2.640,-",Hatchback,1265 kg,1582 cm³,94 kW (128 pk),97 g/km
"HN391L
",VOLKSWAGEN,Passat,Elektriciteit,2015,"€ 409,-",Sedan,1622 kg,1395 cm³,onbekend
"KR492P
",VOLVO,Xc90,Benzine,2008,"€ 33.178,-",Mpv,2120 kg,4410 cm³,232 kW (315 pk),312 g/km
"JN498F
",VOLKSWAGEN,Golf,Benzine,2016,"€ 2.029,-",Stationwagen,1132 kg,999 cm³,85 kW (116 pk),99 g/km
"V880DX
",NISSAN,Nv300,Diesel,2017,"€ 10.912,-",Niet geregistreerd,1735 kg,1598 cm³,92 kW (125 pk),159 g/km
"VN342D
",CITROEN,Berlingo,Diesel,2015,"€ 5.967,-",Niet geregistreerd,1279 kg,1560 cm³,55 kW (75 pk),131 g/km
"09XTTZ
",AUDI,A6,Diesel,2007,"€ 19.970,-",Stationwagen,1800 kg,2967 cm³,171 kW (232 pk),227 g/km
"92KPS7
",RENAULT,Espace,Benzine,2010,"€ 13.871,-",Mpv,1760 kg,1998 cm³,125 kW (170 pk),224 g/km
"45XBTF
",FORD,Fusion,Benzine,2007,"€ 3.298,-",Mpv,1056 kg,1388 cm³,59 kW (80 pk),154 g/km
"13PHN5
",HYUNDAI,I20,Benzine,2011,"€ 3.440,-",Mpv,1027 kg,1591 cm³,93 kW (126 pk),140 g/km
"VL169D
",MERCEDES-BENZ,Sprinter,Diesel,2015,"€ 9.788,-",Niet geregistreerd,2036 kg,2143 cm³,70 kW (95 pk),223 g/km
"57RRDF
",SUZUKI,Swift 13 3d,Benzine,2005,"€ 2.594,-",Hatchback,945 kg,1328 cm³,68 kW (92 pk),143 g/km
"NP464T
",HYUNDAI,Ioniq,Elektriciteit,2017,"€ 703,-",Hatchback,1345 kg,1580 cm³,onbekend
"35KRN1
",RENAULT,Clio,Benzine,2010,"€ 3.083,-",Hatchback,1065 kg,1149 cm³,55 kW (75 pk),139 g/km
"VJ748L
",IVECO,35c11,Diesel,2014,"€ 11.828,-",Neerklapbare zijschotten,2496 kg,2287 cm³,78 kW (106 pk),238 g/km
"39NGLK
",OPEL,Agila z12xe,Benzine,2003,"€ 2.213,-",Mpv,955 kg,1199 cm³,55 kW (75 pk),151 g/km
"52JTDX
",OPEL,Astra-g-cabrio z18xe,Benzine,2002,"€ 7.164,-",Cabriolet,1280 kg,1796 cm³,92 kW (125 pk),192 g/km
"NK028R
",MERCEDES-BENZ,B 200 turbo,Benzine,2006,"€ 3.509,-",Stationwagen,1305 kg,2035 cm³,142 kW (193 pk),197 g/km
"NB663D
",RENAULT,Clio,Diesel,2016,"€ 2.152,-",Stationwagen,1157 kg,1461 cm³,66 kW (90 pk),82 g/km
"V587VT
",FORD,Transit connect,Diesel,2019,"€ 7.473,-",Niet geregistreerd,1529 kg,1499 cm³,74 kW (101 pk),123 g/km
"V078NK
",VOLKSWAGEN,Crafter,Diesel,2018,"€ 14.367,-",Niet geregistreerd,2093 kg,1968 cm³,103 kW (140 pk),198 g/km
"94HXNZ
",SEAT,Alhambra 18 20v aut/awc 110KW (q),Benzine,2002,"€ 8.834,-",Mpv,1607 kg,1781 cm³,110 kW (149 pk),250 g/km
"61RDS2
",PEUGEOT,107,Benzine,2011,Hatchback,780 kg,998 cm³,50 kW (68 pk),103 g/km
"6XVZ97
",VOLKSWAGEN,Polo,Diesel,2014,"€ 875,-",Hatchback,1065 kg,1422 cm³,55 kW (75 pk),82 g/km
"RN076R
",BMW,X1 xdrive20i,Benzine,2018,"€ 8.601,-",Stationwagen,1515 kg,1998 cm³,141 kW (192 pk),146 g/km
"PF092N
",TOYOTA,Yaris,Benzine,2017,"€ 2.366,-",Mpv,1020 kg,1496 cm³,82 kW (111 pk),103 g/km
"5KDK38
",RENAULT,Megane,Diesel,2013,"€ 1.010,-",Stationwagen,1283 kg,1461 cm³,81 kW (110 pk),88 g/km
"55SFNL
",FIAT,Panda 12,Benzine,2005,"€ 1.902,-",Hatchback,835 kg,1242 cm³,44 kW (60 pk),133 g/km
"73PKXN
",SKODA,Octavia combi 75 KW,Benzine,2004,"€ 4.666,-",Stationwagen,1239 kg,1595 cm³,75 kW (102 pk),170 g/km
"53VRG1
",MERCEDES-BENZ,639 vito 109 cdi,Diesel,2008,"€ 8.292,-",Niet geregistreerd,1690 kg,2148 cm³,70 kW (95 pk),onbekend
"31XHG7
",VOLVO,S60,Benzine,2012,"€ 5.502,-",Sedan,1386 kg,1596 cm³,110 kW (149 pk),135 g/km
"48BKGP
",NISSAN,Primastar 1000 l1 h1 19 dci 82,Diesel,2003,Niet geregistreerd,1675 kg,1870 cm³,60 kW (82 pk),onbekend
"V730PG
",RENAULT,Kangoo,Diesel,2018,"€ 6.170,-",Niet geregistreerd,1230 kg,1461 cm³,55 kW (75 pk),112 g/km
"27LJT9
",SUBARU,Justy,Benzine,2010,"€ 711,-",Hatchback,865 kg,998 cm³,51 kW (69 pk),118 g/km
"PX167F
",SKODA,Octavia,Benzine,2017,"€ 2.155,-",Sedan,1294 kg,1395 cm³,81 kW (110 pk),131 g/km
"XZ501J
",CITROEN,C4 cactus,Benzine,2019,"€ 3.383,-",Hatchback,1040 kg,1199 cm³,81 kW (110 pk),106 g/km
"TP544R
",FORD,Focus,Benzine,2018,"€ 4.301,-",Hatchback,1222 kg,999 cm³,92 kW (125 pk),114 g/km
"HS435L
",FORD,Fiesta,Benzine,2014,"€ 3.093,-",Hatchback,955 kg,1242 cm³,60 kW (82 pk),120 g/km
"9XFX08
",MINI,Benzine,2014,"€ 1.995,-",Hatchback,1060 kg,1499 cm³,100 kW (136 pk),107 g/km
"KJ913H
",VOLKSWAGEN,Golf,Benzine,2016,"€ 6.604,-",Stationwagen,1295 kg,1984 cm³,169 kW (230 pk),139 g/km
"KG652T
",JEEP,Renegade,Benzine,2016,"€ 6.356,-",Mpv,1295 kg,1368 cm³,103 kW (140 pk),137 g/km
"81JGJ1
",TOYOTA,Aygo,Benzine,2009,Hatchback,780 kg,998 cm³,50 kW (68 pk),106 g/km
"JK870D
",KIA,Picanto,Benzine,2016,"€ 1.753,-",Mpv,830 kg,998 cm³,49 kW (67 pk),95 g/km
"88TSPD
",SAAB,9-3,Benzine,2007,"€ 14.205,-",Cabriolet,1580 kg,1998 cm³,110 kW (149 pk),233 g/km
"65SPHS
",VOLKSWAGEN,Fox 55 KW,Benzine,2006,"€ 2.251,-",Hatchback,987 kg,1390 cm³,55 kW (75 pk),161 g/km
"NV551G
",RENAULT,Kadjar,Benzine,2017,"€ 5.701,-",Stationwagen,1281 kg,1197 cm³,96 kW (130 pk),126 g/km
"PS854P
",TOYOTA,C-hr,Elektriciteit,2017,"€ 1.231,-",Hatchback,1395 kg,1798 cm³,onbekend
"09DGKS
",SEAT,Arosa 14 /apq 44KW,Benzine,1999,"€ 1.823,-",Hatchback,867 kg,1390 cm³,44 kW (60 pk),149 g/km
"7TZH01
",PEUGEOT,308,Diesel,2014,"€ 1.021,-",Hatchback,1160 kg,1560 cm³,88 kW (120 pk),84 g/km
"RS681Z
",KIA,Picanto,Benzine,2018,"€ 1.573,-",Mpv,830 kg,998 cm³,49 kW (67 pk),90 g/km
"10TKH3
",MAZDA,2,Benzine,2012,"€ 1.710,-",Hatchback,935 kg,1349 cm³,62 kW (84 pk),119 g/km
